measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,95,Iron deficiency,2,Percent,1990,7.468510793e-05,0.00010647158901,4.507295097e-05
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,96,Vitamin A deficiency,2,Percent,1990,0.00026273647669,0.00039550020334,0.00014685869302
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,97,Zinc deficiency,2,Percent,1990,0.00023956438817,0.00071695377253,9.63702878e-06
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,102,Alcohol use,2,Percent,1990,0.05569783833123,0.07044968846342,0.04066199439898
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,111,Diet low in fruits,2,Percent,1990,0.06394025459423,0.09183651305612,0.03890700657196
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,112,Diet low in vegetables,2,Percent,1990,0.05931508247176,0.09307016154689,0.02896652795903
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,113,Diet low in whole grains,2,Percent,1990,0.07750912449362,0.10531299911468,0.0525549829912
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,114,Diet low in nuts and seeds,2,Percent,1990,0.0580759818611,0.08358144229963,0.03577301958188
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,115,Diet low in milk,2,Percent,1990,0.00309385259137,0.00536558400239,0.00106120917332
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,116,Diet high in red meat,2,Percent,1990,0.00133594648394,0.00220001437801,0.00055409493227
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,117,Diet high in processed meat,2,Percent,1990,0.02071798082492,0.03487940644546,0.00424916849257
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,118,Diet high in sugar-sweetened beverages,2,Percent,1990,0.00068280102817,0.00098174439991,0.00046577880468
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,119,Diet low in fiber,2,Percent,1990,0.01238214125007,0.0216339609418,0.00560603677622
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,120,Diet suboptimal in calcium,2,Percent,1990,0.00351396695652,0.00545608133413,0.00186376188171
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,121,Diet low in seafood omega-3 fatty acids,2,Percent,1990,0.04138855030432,0.06788104918172,0.01711735665139
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,122,Diet low in polyunsaturated fatty acids,2,Percent,1990,0.0175555349669,0.02725957050991,0.00703588419783
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,123,Diet high in trans fatty acids,2,Percent,1990,0.00831913392442,0.01842579269293,0.00222207994841
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,124,Diet high in sodium,2,Percent,1990,0.06668116625808,0.12450107344059,0.02602419966606
1,Deaths,240,Europe & Central Asia - WB,3,Both,22,All Ages,294,All causes,125,Low physical activity,2,Percent,1990,0.04178790486892,0.05235567605862,0.03080765135236
1,Deaths,44638,North America,3,Both,22,All Ages,294,All causes,95,Iron deficiency,2,Percent,1990,1.968753295e-05,3.163197387e-05,1.450518171e-05
1,Deaths,44638,North America,3,Both,22,All Ages,294,All causes,96,Vitamin A deficiency,2,Percent,1990,6.309471603e-07,9.798478572e-07,3.517761699e-07
1,Deaths,44638,North America,3,Both,22,All Ages,294,All causes,97,Zinc deficiency,2,Percent,1990,5.35176476e-06,2.04425405e-05,6.638717548e-08
